id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26986486,Retro vintage room in Bristol centre (31),54503007,Patrick,Central,51.45339,-2.59216,Private room,73,1,171,10/12/2021,4.12,7,332
26991056,Small double bed in modern 3 bed house with gym,16411889,Peter,Southville,51.44286,-2.61593,Private room,42,2,58,18/12/2021,1.39,2,77
27004486,Revamped Flat in Georgian Heritage Home,199783633,Kate,Hotwells & Harbourside,51.45384,-2.607,Entire home/apt,111,2,190,14/12/2021,4.69,1,230
27017815,Clean light bright room next to Eastville Park,193429853,Bonny,Eastville,51.47357,-2.55492,Private room,50,1,8,27/11/2021,2.7,1,219
27021221,Double bedroom en-suite in Stoke Bishop,19325448,Inge,Stoke Bishop,51.48206,-2.64231,Private room,50,2,8,19/10/2020,0.2,1,52
27043484,City Of Bristol Loft Space,53437015,Simon,Knowle,51.43811,-2.57402,Private room,31,1,37,1/7/2021,1.19,1,23
27071310,Cosy double room in St Andrews with lovely garden,116218968,Daniel,Ashley,51.46985,-2.59066,Private room,46,1,16,21/9/2021,0.39,2,115
27123784,"6  or 7 bedroom flat, city centre Stag/Hen welcome",54503007,Patrick,Central,51.45354,-2.59283,Entire home/apt,1536,1,47,21/11/2021,1.14,7,319
27130712,higgihaus Apartment (#26). Cool. Quirky. Stylish. Awesome Central Location.,164934575,Luke,Central,51.45947,-2.58416,Entire home/apt,71,1,97,28/10/2020,2.34,12,116
27135841,higgihaus Apartment (#23). Cool. Quirky. Stylish. Awesome Central Location.,164934575,Luke,Ashley,51.46061,-2.58486,Entire home/apt,71,1,66,18/10/2020,1.6,12,114
27185803,Cotham Lawn One Bed Studio Apartment,201491449,Samuel(CL),Cotham,51.46291,-2.60363,Entire home/apt,92,1,1,13/6/2021,0.15,4,342
27185820,Cotham Lawn Standard One Bedroom Apartment,201491449,Samuel(CL),Cotham,51.46291,-2.60363,Entire home/apt,100,1,4,22/11/2021,0.48,4,328
27185860,Cotham Lawn One Bedroom Superior Apartment,201491449,Samuel(CL),Cotham,51.46291,-2.60363,Entire home/apt,107,1,3,30/9/2021,0.12,4,52
27185919,Cotham Lawn 2 Bed Superior Apartment,201491449,Samuel(CL),Cotham,51.46291,-2.60363,Entire home/apt,148,1,1,15/9/2019,0.04,4,123
27213583,Small single bedroom in the heart of Lawrence Hill,79009580,Kate,Lawrence Hill,51.45765,-2.56637,Private room,25,2,19,7/2/2020,0.46,3,141
27279143,1A Meridian Road,72131879,Jenny,Redland,51.4683,-2.59934,Private room,35,1,6,16/9/2018,0.15,1,7
27397464,City Centre Apartment Near Cabot Circus BS2 Area,173164894,Sarah,Lawrence Hill,51.45677,-2.579,Entire home/apt,71,2,157,5/12/2021,3.83,1,352
27477406,2-Bed Family Home with Sunny Garden,65192629,Hopewell,Easton,51.46238,-2.56326,Entire home/apt,101,1,99,24/9/2021,2.41,143,0
